[L]# 06:19:34--409  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:19:34--415  ThreadID:1 >> 对战房间负载：0个
[L]# 06:19:39--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:19:39--417  ThreadID:1 >> 对战房间负载：0个
[L]# 06:19:44--413  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:19:44--416  ThreadID:1 >> 对战房间负载：0个
[L]# 06:19:49--402  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:19:49--434  ThreadID:1 >> 对战房间负载：0个
[L]# 06:19:54--416  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:19:54--418  ThreadID:1 >> 对战房间负载：0个
[L]# 06:19:59--413  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:19:59--415  ThreadID:1 >> 对战房间负载：0个
[L]# 06:20:04--411  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:20:04--412  ThreadID:1 >> 对战房间负载：0个
[L]# 06:20:09--414  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:20:09--416  ThreadID:1 >> 对战房间负载：0个
[L]# 06:20:14--410  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:20:14--427  ThreadID:1 >> 对战房间负载：0个
[L]# 06:20:19--413  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:20:19--414  ThreadID:1 >> 对战房间负载：0个
[L]# 06:20:24--415  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:20:24--417  ThreadID:1 >> 对战房间负载：0个
[L]# 06:20:29--403  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:20:29--418  ThreadID:1 >> 对战房间负载：0个
[L]# 06:20:34--418  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:20:34--428  ThreadID:1 >> 对战房间负载：0个
[L]# 06:20:39--409  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:20:39--411  ThreadID:1 >> 对战房间负载：0个
[L]# 06:20:44--407  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:20:44--409  ThreadID:1 >> 对战房间负载：0个
[L]# 06:20:49--407  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:20:49--435  ThreadID:1 >> 对战房间负载：0个
[L]# 06:20:54--416  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:20:54--418  ThreadID:1 >> 对战房间负载：0个
[L]# 06:20:59--411  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:20:59--413  ThreadID:1 >> 对战房间负载：0个
[L]# 06:21:04--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:21:04--415  ThreadID:1 >> 对战房间负载：0个
[L]# 06:21:09--407  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:21:09--410  ThreadID:1 >> 对战房间负载：0个
[L]# 06:21:14--410  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:21:14--412  ThreadID:1 >> 对战房间负载：0个
[L]# 06:21:19--414  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:21:19--417  ThreadID:1 >> 对战房间负载：0个
[L]# 06:21:24--414  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:21:24--416  ThreadID:1 >> 对战房间负载：0个
[L]# 06:21:29--402  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:21:29--418  ThreadID:1 >> 对战房间负载：0个
[L]# 06:21:34--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:21:34--419  ThreadID:1 >> 对战房间负载：0个
[L]# 06:21:39--402  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:21:39--418  ThreadID:1 >> 对战房间负载：0个
[L]# 06:21:44--403  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:21:44--419  ThreadID:1 >> 对战房间负载：0个
[L]# 06:21:49--408  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:21:49--410  ThreadID:1 >> 对战房间负载：0个
[L]# 06:21:54--408  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:21:54--410  ThreadID:1 >> 对战房间负载：0个
